t_s,net_counts,net_counts_ema,valve_on
0.0019118209999078317,3872,3872,1
3.8969489799999337,4211,3939.8,1
7.88610095699994,341,3220.04,0
11.863217592999945,-134,2549.232,0
15.85348115599993,-328,1973.7856000000002,0
19.834224882999933,-451,1488.8284800000001,0
23.816015237999977,3634,1917.8627840000004,1
27.80354760599994,4001,2334.4902272000004,1
31.783623012999897,24,1872.3921817600003,0
35.763291064999976,-345,1428.9137454080003,0
39.7523985549999,-499,1043.3309963264003,0
43.734399322999934,-659,702.8647970611203,0
47.71665536399996,3491,1260.4918376488963,1
51.69936174899999,3869,1782.1934701191171,1
55.68372909799996,-51,1415.5547760952938,0
59.667966265999894,-559,1020.6438208762352,0
63.64850062699986,-766,663.3150567009882,0
67.62899059499989,-920,346.65204536079057,0
71.62156508299984,3251,927.5216362886325,1
75.59985567799993,3618,1465.6173090309062,1
79.58068642399996,-308,1110.893847224725,0
83.56491750199996,-754,737.9150777797802,0
87.54551965899998,-1003,389.7320622238242,0
91.52597936799987,-1121,87.58564977905937,0
95.51760469199996,3059,681.8685198232475,1
99.49480101899996,3396,1224.694815858598,1
103.47461895200001,-597,860.3558526868785,0
107.46355144200004,-1121,464.0846821495028,0
