t_s,net_counts,net_counts_ema,valve_on
0.0017248270005438826,9607,9607,1
3.8611881160004486,10587,9803.0,1
7.844202668000435,2694,8381.2,0
11.827128623000135,2375,7179.960000000001,0
15.812051105000137,2172,6178.368,0
19.791833749000034,1870,5316.6944,0
23.77405549300056,10813,6415.9555199999995,1
27.761204641000404,11733,7479.364416,1
31.746271996999894,4214,6826.291532800001,0
35.72536796300028,3487,6158.43322624,0
39.70451596200019,3485,5623.746580992,0
43.69567550800002,3282,5155.397264793601,0
47.677944767000554,11570,6438.317811834881,1
51.65532948500004,12527,7656.054249467905,1
55.64584013400054,4931,7111.043399574324,0
59.62369967599989,4522,6593.23471965946,0
63.61376589400061,4129,6100.387775727569,0
67.59491408500071,3937,5667.710220582056,0
71.57716989800065,12138,6961.7681764656445,1
75.55869110000003,12683,8106.014541172516,1
79.54117783200036,5330,7550.811632938014,0
83.52821891500025,5013,7043.249306350412,0
87.50771533700026,4737,6581.99944508033,0
91.4890680819999,4596,6184.799556064264,0
95.4720661880001,12450,7437.839644851411,1
99.4610066590003,12974,8545.07171588113,1
